time,open,high,low,close,tick_volume
2021-06-16 02:00:00,1854.45,1856.24,1853.4,1853.59,8697
2021-06-16 03:00:00,1853.59,1856.48,1853.09,1856.26,6167
2021-06-16 04:00:00,1856.27,1858.43,1855.53,1857.85,5313
2021-06-16 05:00:00,1857.87,1860.4,1857.34,1859.86,4158
2021-06-16 06:00:00,1859.87,1860.9,1858.74,1859.79,5068
2021-06-16 07:00:00,1859.79,1861.51,1858.11,1860.38,7096
2021-06-16 08:00:00,1860.38,1861.01,1856.94,1860.21,8339
2021-06-16 09:00:00,1860.24,1860.52,1858.52,1859.94,5730
2021-06-16 10:00:00,1859.94,1860.57,1857.82,1860.33,5225
2021-06-16 11:00:00,1860.34,1860.52,1854.94,1855.04,6069
2021-06-16 12:00:00,1855.05,1856.02,1852.7,1854.91,7106
2021-06-16 13:00:00,1854.89,1859.31,1854.0,1857.67,10890
2021-06-16 14:00:00,1857.68,1859.7,1855.92,1858.94,13969
2021-06-16 15:00:00,1858.93,1861.59,1854.93,1856.41,13859
2021-06-16 16:00:00,1856.39,1859.91,1855.42,1859.78,7728
2021-06-16 17:00:00,1859.8,1860.81,1857.61,1859.15,8353
2021-06-16 18:00:00,1859.15,1862.89,1857.54,1861.76,6293
2021-06-16 19:00:00,1861.83,1861.83,1830.85,1835.09,30308
2021-06-16 20:00:00,1835.0,1840.18,1827.14,1828.14,19534
2021-06-16 21:00:00,1828.14,1830.66,1803.28,1811.85,10514
2021-06-16 23:00:00,1811.39,1819.26,1809.7,1818.95,7961
2021-06-17 00:00:00,1818.95,1819.84,1816.7,1818.79,6420
2021-06-17 01:00:00,1818.76,1818.97,1814.36,1817.66,11108
2021-06-17 02:00:00,1817.48,1821.92,1815.91,1821.65,15277
2021-06-17 03:00:00,1821.63,1825.23,1821.21,1824.2,11625
2021-06-17 04:00:00,1824.27,1824.46,1821.67,1822.17,7087
2021-06-17 05:00:00,1822.25,1822.25,1820.6,1821.48,4119
2021-06-17 06:00:00,1821.49,1821.53,1817.06,1818.08,7897
2021-06-17 07:00:00,1818.08,1818.28,1809.71,1815.14,17265
2021-06-17 08:00:00,1815.15,1815.27,1805.25,1810.27,16757
2021-06-17 09:00:00,1810.27,1811.58,1802.71,1804.76,15135
2021-06-17 10:00:00,1804.76,1808.38,1804.45,1806.0,12254
2021-06-17 11:00:00,1805.98,1806.4,1795.24,1798.57,15350
2021-06-17 12:00:00,1798.54,1800.16,1785.71,1788.46,16855
2021-06-17 13:00:00,1788.46,1790.12,1775.82,1785.51,22950
2021-06-17 14:00:00,1785.51,1790.45,1779.44,1783.12,22919
2021-06-17 15:00:00,1783.17,1783.39,1774.9,1778.56,24520
2021-06-17 16:00:00,1778.51,1779.74,1767.19,1776.07,23559
2021-06-17 17:00:00,1776.07,1776.47,1769.48,1770.6,19845
2021-06-17 18:00:00,1770.63,1779.15,1770.21,1778.54,17304
2021-06-17 19:00:00,1778.54,1781.91,1777.71,1778.06,11875
2021-06-17 20:00:00,1778.04,1778.75,1771.23,1772.11,11046
2021-06-17 21:00:00,1772.02,1774.63,1769.53,1772.98,4969
2021-06-17 23:00:00,1772.2,1776.89,1772.18,1775.8,3429
2021-06-18 00:00:00,1775.84,1776.78,1773.7,1776.71,3334
2021-06-18 01:00:00,1776.71,1779.6,1775.94,1779.12,8376
2021-06-18 02:00:00,1779.12,1785.85,1777.2,1784.58,11023
2021-06-18 03:00:00,1784.53,1784.91,1781.33,1784.42,7991
2021-06-18 04:00:00,1784.42,1786.33,1783.11,1785.77,6470
2021-06-18 05:00:00,1785.79,1787.11,1783.73,1784.46,5023
2021-06-18 06:00:00,1784.55,1785.77,1782.02,1785.13,9218
2021-06-18 07:00:00,1785.13,1786.61,1782.64,1783.57,11776
2021-06-18 08:00:00,1783.58,1793.53,1783.52,1793.07,14265
2021-06-18 09:00:00,1793.03,1794.6,1790.17,1791.08,11060
2021-06-18 10:00:00,1791.07,1797.06,1790.27,1794.3,9214
2021-06-18 11:00:00,1794.3,1794.85,1791.19,1791.64,8582
2021-06-18 12:00:00,1791.56,1794.49,1790.56,1794.04,8858
2021-06-18 13:00:00,1793.97,1794.22,1775.22,1777.2,23528
2021-06-18 14:00:00,1777.18,1778.98,1772.45,1773.11,24000
2021-06-18 15:00:00,1773.09,1780.65,1768.99,1777.83,25740
2021-06-18 16:00:00,1777.84,1778.64,1773.42,1774.14,18673
2021-06-18 17:00:00,1774.09,1776.39,1771.79,1771.88,11053
2021-06-18 18:00:00,1771.87,1774.18,1768.38,1772.95,12108
2021-06-18 19:00:00,1772.95,1774.67,1769.45,1770.59,12574
2021-06-18 20:00:00,1770.59,1772.49,1761.44,1761.97,11207
2021-06-18 21:00:00,1761.92,1765.63,1760.81,1764.06,4801
2021-06-20 23:00:00,1764.02,1769.85,1763.99,1768.55,4972
2021-06-21 00:00:00,1768.57,1770.05,1767.57,1769.26,4031
2021-06-21 01:00:00,1769.25,1773.23,1768.51,1773.11,9308
2021-06-21 02:00:00,1773.06,1773.84,1770.62,1771.36,14897
2021-06-21 03:00:00,1771.35,1776.0,1771.11,1775.82,8763
2021-06-21 04:00:00,1775.77,1776.81,1773.69,1774.42,14514
2021-06-21 05:00:00,1774.43,1775.38,1772.73,1773.11,8010
2021-06-21 06:00:00,1773.12,1773.54,1766.37,1773.18,12189
2021-06-21 07:00:00,1773.18,1779.97,1772.44,1778.32,16808
2021-06-21 08:00:00,1778.34,1779.91,1774.14,1778.57,16617
2021-06-21 09:00:00,1778.56,1785.6,1777.82,1784.86,14223
2021-06-21 10:00:00,1784.84,1785.77,1782.14,1783.87,11140
2021-06-21 11:00:00,1783.85,1784.75,1781.76,1782.86,9442
2021-06-21 12:00:00,1782.92,1784.47,1781.95,1782.6,10594
2021-06-21 13:00:00,1782.74,1782.9,1773.75,1774.93,16724
2021-06-21 14:00:00,1774.89,1779.73,1773.64,1775.04,22377
2021-06-21 15:00:00,1775.05,1783.58,1773.5,1782.52,20513
2021-06-21 16:00:00,1782.59,1786.5,1781.57,1783.38,14499
2021-06-21 17:00:00,1783.4,1784.07,1781.95,1783.09,9506
2021-06-21 18:00:00,1783.17,1783.49,1782.0,1782.73,9532
2021-06-21 19:00:00,1782.73,1784.35,1782.29,1783.68,7580
